Date,Time,Title,Buy-in Per Player,Platforms,Team Size,Tournament Type (Ex: Single Elimination),Players in Match,Number of Teams Registered,Series Type (Ex: Best of 3),Prize Pool
"April 9, 2023",8:45 AM,3v3 $306 Switcheroo,$0,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,2,Best of 1,$306
"April 9, 2023",6:20 AM,2v2 *DOLLAR ENTRY* 1ND SND,$1,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,5,Best of 1,$6
"April 9, 2023",6:15 AM,1v1 CONSOLE 1ND SND,$4,"['xbox', 'playstation', 'battle.net']",1,single elimination,1v1,2,Best of 1,$7
"April 9, 2023",5:50 AM,1v1 1ND *SCAR ONLY* SND,$4,"['xbox', 'playstation', 'battle.net']",1,single elimination,1v1,3,Best of 1,$9
"April 9, 2023",4:20 AM,3v3 *DOLLAR ENTRY* 1ND *NO SNIPES* SND,$1,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,5,Best of 1,$9
"April 9, 2023",2:30 AM,2v2 CW SND,$5,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,2,Best of 3,$20
"April 9, 2023",2:00 AM,4v4 1ND SND,$4,"['xbox', 'playstation', 'battle.net']",4,single elimination,4v4,7,Best of 1,$80
"April 9, 2023",1:25 AM,2v2 *NO MASTERS* MWII SND,$7,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,4,Best of 3,$40
"April 9, 2023",12:25 AM,2v2 *DOLLAR ENTRY* 1ND SND,$1,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,3,Best of 1,$6
"April 9, 2023",12:00 AM,3v3 1ND *NO SNIPES* SND,$4,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,5,Best of 1,$42
"April 8, 2023",11:00 PM,2v2 $50 GTD 1ND *VAZNEV ONLY* SND,$7.5,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,5,Best of 1,$50
"April 8, 2023",9:50 PM,4v4 MWII VARIANT *ONE T32 PLAYER MAX PER TEAM*,$7,"['xbox', 'playstation', 'battle.net']",4,double elimination,4v4,10,Best of 3,$200
"April 8, 2023",9:45 PM,3v3 *DOLLAR ENTRY* 1ND SND,$1,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,8,Best of 1,$18
"April 8, 2023",8:20 PM,2v2 1ND AR/SMG SND,$4,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,3,Best of 1,$18
"April 8, 2023",7:00 AM,3v3 $438 Switcheroo,$0,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,2,Best of 1,$438
"April 8, 2023",6:20 AM,1v1 *SCAR ONLY* 1ND SND,$4,"['xbox', 'playstation', 'battle.net']",1,single elimination,1v1,6,Best of 1,$17
"April 8, 2023",5:50 AM,2v2 *DOLLAR ENTRY* 1ND SND,$1,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,3,Best of 1,$4
"April 8, 2023",4:25 AM,2v2 $50 GTD 1ND SND,$7.5,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,3,Best of 1,$50
"April 8, 2023",3:25 AM,3v3 *NO MASTERS* MWII SND,$6,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,2,Best of 3,$36
"April 8, 2023",2:23 AM,2v2 1ND *VAZNEV ONLY* SND,$4,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,2,Best of 1,$14
"April 8, 2023",1:23 AM,3v3 *DOLLAR ENTRY* 1ND SND,$1,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,6,Best of 1,$15
"April 8, 2023",12:16 AM,3v3 $270 FREE ENTRY CHIEFPANDA x CODAGENT SND,$0,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,42,Best of 3,$240
"April 7, 2023",11:23 PM,2v2 *NO MASTERS* MWII SND,$7,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,2,Best of 3,$26
"April 7, 2023",10:50 PM,1v1 1ND SND,$4,"['xbox', 'playstation', 'battle.net']",1,single elimination,1v1,2,Best of 1,$8
"April 7, 2023",10:30 PM,3v3 1ND *FORTRESS ONLY* SND,$4,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,2,Best of 1,$27
"April 7, 2023",9:30 PM,2v2 1ND SND,$4,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,2,Best of 1,$16
"April 7, 2023",7:00 AM,$844 CXP Switcheroo,$0,"['xbox', 'playstation', 'battle.net']",4,single elimination,4v4,2,Best of 1,$756
"April 7, 2023",5:55 AM,2v2 1ND *VAZNEV ONLY* SND,$4,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,7,Best of 1,$40
"April 7, 2023",5:20 AM,3v3 *DOLLAR ENTRY* 1ND SND,$1,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,8,Best of 1,$18
"April 7, 2023",5:00 AM,3v3 $411 Switcheroo,$0,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,2,Best of 1,$411
"April 7, 2023",4:20 AM,2v2 *DOLLAR ENTRY* 1ND SND,$1,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,6,Best of 1,$10
"April 7, 2023",3:27 AM,4v4 *DOLLAR ENTRY* 1ND HP,$1,"['xbox', 'playstation', 'battle.net']",4,single elimination,4v4,5,Best of 1,$16
"April 7, 2023",2:22 AM,2v2 *NO MASTERS* MWII SND,$6,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,6,Best of 3,$50
"April 7, 2023",1:43 AM,4v4 *NO APRIL WINNERS* VARIANT,$6,"['xbox', 'playstation', 'battle.net']",4,single elimination,4v4,7,Best of 3,$136
"April 7, 2023",1:00 AM,3v3 $300 PRESTIGE SND,$0,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,18,Best of 3,$300
"April 6, 2023",11:25 PM,4v4 ELECTRIFYSTEEL x CODAGENT DOUB ELIM HARDPOINT,$5,"['xbox', 'playstation', 'battle.net']",4,double elimination,4v4,5,Best of 3,$72
"April 6, 2023",11:15 PM,2v2 $10 FE 1ND SND,$0,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,16,Best of 1,$10
"April 6, 2023",10:25 PM,3v3 *DOLLAR ENTRY* 1ND SND,$1,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,3,Best of 1,$9
"April 6, 2023",9:25 PM,2v2 1ND *VAZNEV ONLY* SND,$4,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,6,Best of 1,$34
"April 6, 2023",7:15 PM,4v4 EU VARIANT,$5.5,"['xbox', 'playstation', 'battle.net']",4,single elimination,4v4,3,Best of 3,$52
"April 6, 2023",6:20 AM,1v1 1ND SND,$4,"['xbox', 'playstation', 'battle.net']",1,single elimination,1v1,4,Best of 1,$11
"April 6, 2023",5:45 AM,2v2 *DOLLAR ENTRY* 1ND SND,$1,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,3,Best of 1,$6
"April 6, 2023",5:15 AM,3v3 *DOLLAR ENTRY* 1ND SND,$1,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,3,Best of 1,$9
"April 6, 2023",5:00 AM,4v4 $412 Switcheroo,$0,"['xbox', 'playstation', 'battle.net']",4,single elimination,4v4,2,Best of 3,$412
"April 6, 2023",4:20 AM,2v2 $50 GTD 1ND *VAZNEV ONLY* SND,$7.5,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,4,Best of 1,$50
"April 6, 2023",2:20 AM,2v2 *DOLLAR ENTRY* 1ND SND,$1,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,4,Best of 1,$6
"April 6, 2023",1:25 AM,4v4 VARIANT,$5,"['xbox', 'playstation', 'battle.net']",4,single elimination,4v4,1,Best of 3,$36
"April 5, 2023",11:58 PM,3v3 *DOLLAR ENTRY* 1ND SND,$1,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,2,Best of 1,$9
"April 5, 2023",11:36 PM,2v2 $50 GTD 1ND SND,$7.5,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,5,Best of 1,$50
"April 5, 2023",10:15 PM,3v3 $15 FE 1ND SND,$0,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,7,Best of 1,$15
"April 5, 2023",9:30 PM,2v2 1ND AR/SMG SND,$4,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,3,Best of 1,$18
"April 5, 2023",7:00 AM,3v3 $360 Switcheroo,$0,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,2,Best of 1,$360
"April 5, 2023",6:25 AM,3v3 *DOLLAR ENTRY* 1ND SND,$1,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,7,Best of 1,$15
"April 5, 2023",5:20 AM,2v2 *DOLLAR ENTRY* 1ND SND,$1,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,8,Best of 1,$12
"April 5, 2023",4:20 AM,2v2 1ND COLD WAR SND,$5,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,2,Best of 1,$18
"April 5, 2023",4:20 AM,3v3 *NO SNIPES* 1ND SND,$4,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,4,Best of 1,$33
"April 5, 2023",3:50 AM,4v4 $30 GTD *DOLLAR ENTRY* 1ND HP,$1,"['xbox', 'playstation', 'battle.net']",4,single elimination,4v4,4,Best of 1,$28
"April 5, 2023",12:22 AM,2v2 *DOLLAR ENTRY* 1ND SND,$1,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,7,Best of 1,$16
"April 4, 2023",11:23 PM,2v2 $50 GTD 1ND SND,$7.5,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,5,Best of 1,$50
"April 4, 2023",10:50 PM,1v1 1ND SND,$4,"['xbox', 'playstation', 'battle.net']",1,single elimination,1v1,3,Best of 1,$9
"April 4, 2023",10:20 PM,3v3 *DOLLAR ENTRY* 1ND SND,$1,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,5,Best of 1,$15
"April 4, 2023",9:15 PM,2v2 1ND AR/SMG SND,$4,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,8,Best of 1,$50
"April 4, 2023",7:00 AM,1v1 test tourney,$0,"['xbox', 'playstation', 'battle.net']",1,single elimination,1v1,2,Best of 1,$0
"April 4, 2023",6:20 AM,2v2 *DOLLAR ENTRY* 1ND SND,$1,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,6,Best of 1,$12
"April 4, 2023",5:20 AM,3v3 *DOLLAR ENTRY* 1ND SND,$1,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,8,Best of 1,$21
"April 4, 2023",4:20 AM,2v2 1ND SND,$4,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,3,Best of 1,$18
"April 4, 2023",3:25 AM,3v3 1ND *NO SNIPES* SND,$4,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,2,Best of 1,$33
"April 4, 2023",2:30 AM,2v2 $30 GTD 1ND SND,$7.5,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,1,Best of 1,$30
"April 4, 2023",1:52 AM,4v4 VARIANT,$5,"['xbox', 'playstation', 'battle.net']",4,single elimination,4v4,7,Best of 3,$100
"April 4, 2023",12:56 AM,2v2 *NO MASTERS* MWII SND,$6,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,4,Best of 3,$42
"April 4, 2023",12:23 AM,3v3 *DOLLAR ENTRY* 1ND SND,$1,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,5,Best of 1,$9
"April 3, 2023",11:15 PM,2v2 $10 FE 1ND SND,$0,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,17,Best of 1,$10
"April 3, 2023",9:25 PM,2v2 *VAZNEV ONLY* 1ND SND,$4,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,5,Best of 1,$24
"April 3, 2023",7:00 AM,4v4 $446 Switcheroo,$0,"['xbox', 'playstation', 'battle.net']",4,single elimination,4v4,2,Best of 3,$444
"April 3, 2023",7:00 AM,3v3 VG $486 Switcheroo,$0,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,2,Best of 1,$456
"April 3, 2023",6:20 AM,1v1 *SCAR ONLY* 1ND SND,$4,"['xbox', 'playstation', 'battle.net']",1,single elimination,1v1,4,Best of 1,$14
"April 3, 2023",5:50 AM,3v3 *DOLLAR ENTRY* 1ND SND,$1,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,5,Best of 1,$15
"April 3, 2023",5:20 AM,2v2 1ND *VAZNEV ONLY* SND,$4,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,3,Best of 1,$18
"April 3, 2023",4:25 AM,3v3 1ND *NO SNIPES* SND,$4,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,3,Best of 1,$33
"April 3, 2023",3:25 AM,2v2 *DOLLAR ENTRY* 1ND SND,$1,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,4,Best of 1,$6
"April 3, 2023",1:25 AM,3v3 *NO MASTERS* MWII SND,$6,"['xbox', 'playstation', 'battle.net']",3,single elimination,3v3,4,Best of 3,$63
"April 3, 2023",1:20 AM,2v2 CW SND,$5,"['xbox', 'playstation', 'battle.net']",2,single elimination,2v2,3,Best of 3,$22
"April 3, 2023",12:54 AM,1v1 $20 GTD CONSOLE 1ND SND,$6,"['xbox', 'playstation', 'battle.net']",1,single elimination,1v1,4,Best of 1,$20
