Date,Player,Game Mode,Map,Kills,Deaths,Damage,Hill Time/First Bloods/Ticks
03/15/2024,Abuzah,Hardpoint,Karachi,17,18,3713,129
03/15/2024,Arcitys,Hardpoint,Karachi,17,15,4421,24
03/15/2024,Breszy,Hardpoint,Karachi,17,25,3335,23
03/15/2024,Huke,Hardpoint,Karachi,22,22,3612,3
03/15/2024,Attach,Hardpoint,Karachi,25,17,4289,115
03/15/2024,Gio,Hardpoint,Karachi,16,21,3498,45
03/15/2024,Nero,Hardpoint,Karachi,17,16,3651,127
03/15/2024,Purj,Hardpoint,Karachi,22,19,3373,24
03/15/2024,Abuzah,SND,Invasion,4,7,2270,2
03/15/2024,Arcitys,SND,Invasion,8,6,2110,0
03/15/2024,Breszy,SND,Invasion,9,8,1921,1
03/15/2024,Huke,SND,Invasion,11,7,2108,4
03/15/2024,Attach,SND,Invasion,8,8,2358,0
03/15/2024,Gio,SND,Invasion,7,8,1520,0
03/15/2024,Nero,SND,Invasion,6,7,1615,2
03/15/2024,Purj,SND,Invasion,7,9,1480,2
03/15/2024,Abuzah,Control,Invasion,17,26,4306,9
03/15/2024,Arcitys,Control,Invasion,20,24,4052,1
03/15/2024,Breszy,Control,Invasion,27,30,5389,5
03/15/2024,Huke,Control,Invasion,27,29,6200,1
03/15/2024,Attach,Control,Invasion,28,24,4955,1
03/15/2024,Gio,Control,Invasion,33,25,5864,4
03/15/2024,Nero,Control,Invasion,17,26,4277,7
03/15/2024,Purj,Control,Invasion,31,17,6112,4
03/15/2024,Abuzah,Hardpoint,Rio,18,18,3781,85
03/15/2024,Arcitys,Hardpoint,Rio,14,17,2494,61
03/15/2024,Breszy,Hardpoint,Rio,22,23,4107,35
03/15/2024,Huke,Hardpoint,Rio,17,28,3923,28
03/15/2024,Attach,Hardpoint,Rio,23,19,4524,70
03/15/2024,Gio,Hardpoint,Rio,28,19,4632,75
03/15/2024,Nero,Hardpoint,Rio,15,17,3081,109
03/15/2024,Purj,Hardpoint,Rio,20,16,3371,37
03/15/2024,Assault,Hardpoint,Invasion,24,18,4347,18
03/15/2024,Diamondcon,Hardpoint,Invasion,19,25,4248,95
03/15/2024,Estreal,Hardpoint,Invasion,21,24,4857,33
03/15/2024,Fame,Hardpoint,Invasion,19,27,3667,47
03/15/2024,Afro,Hardpoint,Invasion,24,21,3896,98
03/15/2024,Ghosty,Hardpoint,Invasion,22,21,5215,62
03/15/2024,Kremp,Hardpoint,Invasion,23,22,4507,57
03/15/2024,Nastie,Hardpoint,Invasion,25,19,4217,44
03/15/2024,Assault,SND,Terminal,11,2,2191,2
03/15/2024,Diamondcon,SND,Terminal,4,4,1049,1
03/15/2024,Estreal,SND,Terminal,5,4,867,0
03/15/2024,Fame,SND,Terminal,6,3,1043,1
03/15/2024,Afro,SND,Terminal,4,7,566,2
03/15/2024,Ghosty,SND,Terminal,3,6,788,0
03/15/2024,Kremp,SND,Terminal,3,6,929,1
03/15/2024,Nastie,SND,Terminal,3,7,806,0
03/15/2024,Assault,Control,Highrise,17,20,3262,3
03/15/2024,Diamondcon,Control,Highrise,23,19,4416,0
03/15/2024,Estreal,Control,Highrise,22,25,4321,1
03/15/2024,Fame,Control,Highrise,18,23,4006,4
03/15/2024,Afro,Control,Highrise,26,18,5149,3
03/15/2024,Ghosty,Control,Highrise,29,19,5141,4
03/15/2024,Kremp,Control,Highrise,15,24,3292,2
03/15/2024,Nastie,Control,Highrise,17,20,3684,6
03/15/2024,Assault,Hardpoint,Sub Base,13,14,2602,73
03/15/2024,Diamondcon,Hardpoint,Sub Base,8,16,1393,3
03/15/2024,Estreal,Hardpoint,Sub Base,17,20,3750,8
03/15/2024,Fame,Hardpoint,Sub Base,15,19,3914,22
03/15/2024,Afro,Hardpoint,Sub Base,18,14,2832,31
03/15/2024,Ghosty,Hardpoint,Sub Base,17,13,3525,94
03/15/2024,Kremp,Hardpoint,Sub Base,14,11,3617,94
03/15/2024,Nastie,Hardpoint,Sub Base,20,15,3367,40
