Date,Player,Game Mode,Map,Opponent,Kills,Deaths,Damage,Hill Time/First Bloods/Ticks,,
03/15/2024,Abuzah,Hardpoint,Karachi,Vegas Legion,17,18,3713,129,,
03/15/2024,Arcitys,Hardpoint,Karachi,Vegas Legion,17,15,4421,24,,
03/15/2024,Breszy,Hardpoint,Karachi,Vegas Legion,17,25,3335,23,,
03/15/2024,Huke,Hardpoint,Karachi,Vegas Legion,22,22,3612,3,,
03/15/2024,Attach,Hardpoint,Karachi,Seattle Surge,25,17,4289,115,,
03/15/2024,Gio,Hardpoint,Karachi,Seattle Surge,16,21,3498,45,,
03/15/2024,Nero,Hardpoint,Karachi,Seattle Surge,17,16,3651,127,,
03/15/2024,Purj,Hardpoint,Karachi,Seattle Surge,22,19,3373,24,,
03/15/2024,Abuzah,SND,Invasion,Vegas Legion,4,7,2270,2,,
03/15/2024,Arcitys,SND,Invasion,Vegas Legion,8,6,2110,0,,
03/15/2024,Breszy,SND,Invasion,Vegas Legion,9,8,1921,1,,
03/15/2024,Huke,SND,Invasion,Vegas Legion,11,7,2108,4,,
03/15/2024,Attach,SND,Invasion,Seattle Surge,8,8,2358,0,,
03/15/2024,Gio,SND,Invasion,Seattle Surge,7,8,1520,0,,
03/15/2024,Nero,SND,Invasion,Seattle Surge,6,7,1615,2,,
03/15/2024,Purj,SND,Invasion,Seattle Surge,7,9,1480,2,,
03/15/2024,Abuzah,Control,Invasion,Vegas Legion,17,26,4306,9,,
03/15/2024,Arcitys,Control,Invasion,Vegas Legion,20,24,4052,1,,
03/15/2024,Breszy,Control,Invasion,Vegas Legion,27,30,5389,5,,
03/15/2024,Huke,Control,Invasion,Vegas Legion,27,29,6200,1,,
03/15/2024,Attach,Control,Invasion,Seattle Surge,28,24,4955,1,,
03/15/2024,Gio,Control,Invasion,Seattle Surge,33,25,5864,4,,
03/15/2024,Nero,Control,Invasion,Seattle Surge,17,26,4277,7,,
03/15/2024,Purj,Control,Invasion,Seattle Surge,31,17,6112,4,,
03/15/2024,Abuzah,Hardpoint,Rio,Vegas Legion,18,18,3781,85,,
03/15/2024,Arcitys,Hardpoint,Rio,Vegas Legion,14,17,2494,61,,
03/15/2024,Breszy,Hardpoint,Rio,Vegas Legion,22,23,4107,35,,
03/15/2024,Huke,Hardpoint,Rio,Vegas Legion,17,28,3923,28,,
03/15/2024,Attach,Hardpoint,Rio,Seattle Surge,23,19,4524,70,,
03/15/2024,Gio,Hardpoint,Rio,Seattle Surge,28,19,4632,75,,
03/15/2024,Nero,Hardpoint,Rio,Seattle Surge,15,17,3081,109,,
03/15/2024,Purj,Hardpoint,Rio,Seattle Surge,20,16,3371,37,,
03/15/2024,Assault,Hardpoint,Invasion,LA Thieves,24,18,4347,18,,
03/15/2024,Diamondcon,Hardpoint,Invasion,LA Thieves,19,25,4248,95,,
03/15/2024,Estreal,Hardpoint,Invasion,LA Thieves,21,24,4857,33,,
03/15/2024,Fame,Hardpoint,Invasion,LA Thieves,19,27,3667,47,,
03/15/2024,Afro,Hardpoint,Invasion,LA Guerillas,24,21,3896,98,,
03/15/2024,Ghosty,Hardpoint,Invasion,LA Guerillas,22,21,5215,62,,
03/15/2024,Kremp,Hardpoint,Invasion,LA Guerillas,23,22,4507,57,,
03/15/2024,Nastie,Hardpoint,Invasion,LA Guerillas,25,19,4217,44,,
03/15/2024,Assault,SND,Terminal,LA Thieves,11,2,2191,2,,
03/15/2024,Diamondcon,SND,Terminal,LA Thieves,4,4,1049,1,,
03/15/2024,Estreal,SND,Terminal,LA Thieves,5,4,867,0,,
03/15/2024,Fame,SND,Terminal,LA Thieves,6,3,1043,1,,
03/15/2024,Afro,SND,Terminal,LA Guerillas,4,7,566,2,,
03/15/2024,Ghosty,SND,Terminal,LA Guerillas,3,6,788,0,,
03/15/2024,Kremp,SND,Terminal,LA Guerillas,3,6,929,1,,
03/15/2024,Nastie,SND,Terminal,LA Guerillas,3,7,806,0,,
03/15/2024,Assault,Control,Highrise,LA Thieves,17,20,3262,3,,
03/15/2024,Diamondcon,Control,Highrise,LA Thieves,23,19,4416,0,,
03/15/2024,Estreal,Control,Highrise,LA Thieves,22,25,4321,1,,
03/15/2024,Fame,Control,Highrise,LA Thieves,18,23,4006,4,,
03/15/2024,Afro,Control,Highrise,LA Guerillas,26,18,5149,3,,
03/15/2024,Ghosty,Control,Highrise,LA Guerillas,29,19,5141,4,,
03/15/2024,Kremp,Control,Highrise,LA Guerillas,15,24,3292,2,,
03/15/2024,Nastie,Control,Highrise,LA Guerillas,17,20,3684,6,,
03/15/2024,Assault,Hardpoint,Sub Base,LA Thieves,13,14,2602,73,,
03/15/2024,Diamondcon,Hardpoint,Sub Base,LA Thieves,8,16,1393,3,,
03/15/2024,Estreal,Hardpoint,Sub Base,LA Thieves,17,20,3750,8,,
03/15/2024,Fame,Hardpoint,Sub Base,LA Thieves,15,19,3914,22,,
03/15/2024,Afro,Hardpoint,Sub Base,LA Guerillas,18,14,2832,31,,
03/15/2024,Ghosty,Hardpoint,Sub Base,LA Guerillas,17,13,3525,94,,
03/15/2024,Kremp,Hardpoint,Sub Base,LA Guerillas,14,11,3617,94,,
03/15/2024,Nastie,Hardpoint,Sub Base,LA Guerillas,20,15,3367,40,,
03/16/2024,Clayster,Hardpoint,Invasion,Vegas Legion,16,26,3956,60,,
03/16/2024,FelonY,Hardpoint,Invasion,Vegas Legion,21,21,4018,54,,
03/16/2024,Gwinn,Hardpoint,Invasion,Vegas Legion,21,25,4242,35,,
03/16/2024,TJHaly,Hardpoint,Invasion,Vegas Legion,26,27,4800,11,,
03/16/2024,Attach,Hardpoint,Invasion,Carolina Royal Ravens,24,23,5238,46,,
03/16/2024,Gio,Hardpoint,Invasion,Carolina Royal Ravens,27,18,4731,34,,
03/16/2024,Nero,Hardpoint,Invasion,Carolina Royal Ravens,26,23,5019,88,,
03/16/2024,Purj,Hardpoint,Invasion,Carolina Royal Ravens,22,20,4749,93,,
03/16/2024,Clayster,SND,Highrise,Vegas Legion,0,5,691,0,,
03/16/2024,FelonY,SND,Highrise,Vegas Legion,5,5,1262,0,,
03/16/2024,Gwinn,SND,Highrise,Vegas Legion,5,6,1037,1,,
03/16/2024,TJHaly,SND,Highrise,Vegas Legion,6,7,1440,1,,
03/16/2024,Attach,SND,Highrise,Carolina Royal Ravens,6,3,1400,1,,
03/16/2024,Gio,SND,Highrise,Carolina Royal Ravens,6,3,993,2,,
03/16/2024,Nero,SND,Highrise,Carolina Royal Ravens,7,4,931,1,,
03/16/2024,Purj,SND,Highrise,Carolina Royal Ravens,4,6,1333,1,,
03/16/2024,Clayster,Control,Karachi,Vegas Legion,13,27,2602,4,,
03/16/2024,FelonY,Control,Karachi,Vegas Legion,23,21,4811,5,,
03/16/2024,Gwinn,Control,Karachi,Vegas Legion,23,19,4802,4,,
03/16/2024,TJHaly,Control,Karachi,Vegas Legion,15,27,3136,2,,
03/16/2024,Attach,Control,Karachi,Carolina Royal Ravens,23,15,5025,8,,
03/16/2024,Gio,Control,Karachi,Carolina Royal Ravens,29,16,5141,5,,
03/16/2024,Nero,Control,Karachi,Carolina Royal Ravens,17,24,3478,11,,
03/16/2024,Purj,Control,Karachi,Carolina Royal Ravens,25,19,4034,3,,
03/16/2024,Accuracy,Hardpoint,Rio,Miami Heretics,23,24,4211,70,,
03/16/2024,Lyynnz,Hardpoint,Rio,Miami Heretics,24,26,4012,7,,
03/16/2024,Owakening,Hardpoint,Rio,Miami Heretics,16,25,4046,57,,
03/16/2024,Vivid,Hardpoint,Rio,Miami Heretics,26,28,4931,36,,
03/16/2024,EriKBooM,Hardpoint,Rio,Minnesota ROKKR,23,25,4103,19,,
03/16/2024,Lucky,Hardpoint,Rio,Minnesota ROKKR,24,22,4634,105,,
03/16/2024,MettalZ,Hardpoint,Rio,Minnesota ROKKR,28,21,5016,91,,
