player,gameMode,kills,deaths,damage,objMainStat,kdRatio
Abuzah,Control,30,40,7110,14,0.75
Abuzah,Hardpoint,53,58,11814,364,0.9137931034482759
Abuzah,SND,9,11,3996,3,0.8181818181818182
Accuracy,Control,16,24,4096,4,0.6666666666666666
Accuracy,Hardpoint,23,24,4211,70,0.9583333333333334
Accuracy,SND,7,9,1224,3,0.7777777777777778
Afro,Control,38,36,7194,6,1.0555555555555556
Afro,Hardpoint,64,80,12143,213,0.8
Afro,SND,12,12,2119,4,1.0
Arcitys,Control,31,38,6447,1,0.8157894736842105
Arcitys,Hardpoint,50,51,10245,87,0.9803921568627451
Arcitys,SND,11,14,3213,0,0.7857142857142857
Asim,Control,33,36,7079,3,0.9166666666666666
Asim,Hardpoint,64,65,11010,163,0.9846153846153847
Asim,SND,16,12,3636,2,1.3333333333333333
Assault,Control,35,50,7431,7,0.7
Assault,Hardpoint,67,74,14094,192,0.9054054054054054
Assault,SND,18,14,4681,5,1.2857142857142858
Attach,Control,71,65,15516,9,1.0923076923076922
Attach,Hardpoint,94,85,18865,277,1.1058823529411765
Attach,SND,20,19,5716,3,1.0526315789473684
Breszy,Control,42,44,8398,5,0.9545454545454546
Breszy,Hardpoint,57,70,11400,77,0.8142857142857143
Breszy,SND,16,14,3804,2,1.1428571428571428
Cellium,Control,27,21,6420,1,1.2857142857142858
Cellium,Hardpoint,35,43,8212,130,0.813953488372093
Cellium,SND,17,14,3649,2,1.2142857142857142
Clayster,Control,13,27,2602,4,0.48148148148148145
Clayster,Hardpoint,16,26,3956,60,0.6153846153846154
Clayster,SND,0,5,691,0,0.0
CleanX,Control,42,30,8784,7,1.4
CleanX,Hardpoint,69,60,13543,148,1.15
CleanX,SND,18,14,3740,7,1.2857142857142858
Dashy,Control,36,23,7072,14,1.565217391304348
Dashy,Hardpoint,75,76,15398,175,0.9868421052631579
Dashy,SND,23,23,6072,4,1.0
Diamondcon,Control,41,53,9131,4,0.7735849056603774
Diamondcon,Hardpoint,73,86,14865,173,0.8488372093023255
Diamondcon,SND,23,15,4843,5,1.5333333333333334
Drazah,Control,32,26,6086,5,1.2307692307692308
Drazah,Hardpoint,48,40,9732,76,1.2
Drazah,SND,9,14,2659,1,0.6428571428571429
Envoy,Control,51,37,8117,7,1.3783783783783783
Envoy,Hardpoint,67,63,12086,265,1.0634920634920635
Envoy,SND,17,16,3708,0,1.0625
EriKBooM,Control,31,37,6608,5,0.8378378378378378
EriKBooM,Hardpoint,49,52,9249,75,0.9423076923076923
EriKBooM,SND,11,16,2131,4,0.6875
Estreal,Control,48,54,9684,2,0.8888888888888888
Estreal,Hardpoint,94,89,19112,135,1.0561797752808988
Estreal,SND,23,14,4132,2,1.6428571428571428
Fame,Control,53,58,10249,8,0.9137931034482759
Fame,Hardpoint,81,88,16518,216,0.9204545454545454
Fame,SND,19,16,3502,3,1.1875
FelonY,Control,23,21,4811,5,1.0952380952380953
FelonY,Hardpoint,21,21,4018,54,1.0
FelonY,SND,5,5,1262,0,1.0
Ghosty,Control,49,32,9394,5,1.53125
