player,map,kills,deaths,damage,objMainStat,kdRatio
Abuzah,Invasion,34,47,9380,16,0.723404255319149
Abuzah,Karachi,35,40,8033,279,0.875
Abuzah,Rio,18,18,3781,85,1.0
Abuzah,Terminal,5,4,1726,1,1.25
Accuracy,Highrise,7,9,1224,3,0.7777777777777778
Accuracy,Karachi,16,24,4096,4,0.6666666666666666
Accuracy,Rio,23,24,4211,70,0.9583333333333334
Afro,Highrise,34,23,6702,5,1.4782608695652173
Afro,Invasion,24,21,3896,98,1.1428571428571428
Afro,Karachi,12,18,2045,3,0.6666666666666666
Afro,Rio,17,27,3813,57,0.6296296296296297
Afro,Sub Base,23,32,4434,58,0.71875
Afro,Terminal,4,7,566,2,0.5714285714285714
Arcitys,Invasion,39,44,8557,1,0.8863636363636364
Arcitys,Karachi,36,34,7751,26,1.0588235294117647
Arcitys,Rio,14,17,2494,61,0.8235294117647058
Arcitys,Terminal,3,8,1103,0,0.375
Asim,Invasion,33,36,7079,3,0.9166666666666666
Asim,Karachi,19,26,3783,54,0.7307692307692307
Asim,Skidrow,28,16,3902,61,1.75
Asim,Sub Base,17,23,3325,48,0.7391304347826086
Asim,Terminal,16,12,3636,2,1.3333333333333333
Assault,Highrise,39,57,8794,10,0.6842105263157895
Assault,Invasion,42,50,9221,54,0.84
Assault,Sub Base,28,29,6000,138,0.9655172413793104
Assault,Terminal,11,2,2191,2,5.5
Attach,Highrise,6,3,1400,1,2.0
Attach,Invasion,86,89,20045,49,0.9662921348314607
Attach,Karachi,48,32,9314,123,1.5
Attach,Rio,45,45,9338,116,1.0
Breszy,Invasion,51,52,10319,6,0.9807692307692307
Breszy,Karachi,35,47,7293,42,0.7446808510638298
Breszy,Rio,22,23,4107,35,0.9565217391304348
Breszy,Terminal,7,6,1883,1,1.1666666666666667
Cellium,Highrise,35,28,7983,3,1.25
Cellium,Invasion,25,31,6471,93,0.8064516129032258
Cellium,Sub Base,19,19,3827,37,1.0
Clayster,Highrise,0,5,691,0,0.0
Clayster,Invasion,16,26,3956,60,0.6153846153846154
Clayster,Karachi,13,27,2602,4,0.48148148148148145
CleanX,Highrise,8,7,1628,3,1.1428571428571428
CleanX,Invasion,34,26,7812,5,1.3076923076923077
CleanX,Karachi,18,11,3084,6,1.6363636363636365
CleanX,Rio,50,48,9359,123,1.0416666666666667
CleanX,Sub Base,19,12,4184,25,1.5833333333333333
Dashy,Invasion,26,22,5587,69,1.1818181818181819
Dashy,Karachi,46,31,9472,17,1.4838709677419355
Dashy,Rio,36,36,7254,86,1.0
Dashy,Sub Base,23,24,4519,20,0.9583333333333334
Dashy,Terminal,3,9,1710,1,0.3333333333333333
Diamondcon,Highrise,47,59,10538,5,0.7966101694915254
Diamondcon,Invasion,52,60,10767,107,0.8666666666666667
Diamondcon,Sub Base,34,31,6485,69,1.096774193548387
Diamondcon,Terminal,4,4,1049,1,1.0
Drazah,Highrise,36,33,7104,5,1.0909090909090908
Drazah,Invasion,40,22,7969,29,1.8181818181818181
Drazah,Sub Base,13,25,3404,48,0.52
Envoy,Highrise,9,8,2133,0,1.125
Envoy,Invasion,39,33,6355,6,1.1818181818181819
Envoy,Karachi,20,12,3337,1,1.6666666666666667
Envoy,Rio,54,51,9431,213,1.0588235294117647
Envoy,Sub Base,13,12,2655,52,1.0833333333333333
EriKBooM,Highrise,3,9,741,1,0.3333333333333333
EriKBooM,Invasion,26,27,5146,56,0.9629629629629629
EriKBooM,Karachi,31,37,6608,5,0.8378378378378378
EriKBooM,Rio,31,32,5493,22,0.96875
Estreal,Highrise,59,57,11368,4,1.0350877192982457
Estreal,Invasion,58,58,13058,47,1.0
Estreal,Sub Base,43,38,7635,88,1.131578947368421
Estreal,Terminal,5,4,867,0,1.25
Fame,Highrise,59,64,11503,9,0.921875
Fame,Invasion,52,55,9770,146,0.9454545454545454
Fame,Sub Base,36,40,7953,71,0.9
Fame,Terminal,6,3,1043,1,2.0
FelonY,Highrise,5,5,1262,0,1.0
FelonY,Invasion,21,21,4018,54,1.0
FelonY,Karachi,23,21,4811,5,1.0952380952380953
Ghosty,Highrise,39,24,7393,5,1.625
Ghosty,Invasion,22,21,5215,62,1.0476190476190477
Ghosty,Karachi,20,13,4253,1,1.5384615384615385
Ghosty,Rio,19,25,3679,86,0.76
Ghosty,Sub Base,32,30,6980,134,1.0666666666666667
Ghosty,Terminal,3,6,788,0,0.5
Gio,Highrise,6,3,993,2,2.0
Gio,Invasion,97,85,19479,46,1.1411764705882352
Gio,Karachi,45,37,8639,50,1.2162162162162162
Gio,Rio,58,44,10171,126,1.3181818181818181
Gwinn,Highrise,5,6,1037,1,0.8333333333333334
Gwinn,Invasion,21,25,4242,35,0.84
Gwinn,Karachi,23,19,4802,4,1.2105263157894737
Huke,Invasion,48,50,10898,6,0.96
Huke,Karachi,51,45,8971,15,1.1333333333333333
Huke,Rio,17,28,3923,28,0.6071428571428571
Huke,Terminal,5,8,898,1,0.625
HyDra,Invasion,24,9,4037,2,2.6666666666666665
HyDra,Skidrow,23,22,4351,6,1.0454545454545454
HyDra,Sub Base,25,20,4929,17,1.25
HyDra,Terminal,5,9,1101,0,0.5555555555555556
Hydra,Karachi,17,24,3840,2,0.7083333333333334
Hydra,Rio,37,34,6725,41,1.088235294117647
Hydra,Sub Base,21,21,4876,46,1.0
Hydra,Terminal,9,5,1674,1,1.8
Insight,Highrise,5,7,1712,0,0.7142857142857143
Insight,Invasion,27,25,5984,3,1.08
Insight,Karachi,12,11,2311,2,1.0909090909090908
Insight,Rio,49,43,9842,156,1.1395348837209303
Insight,Sub Base,20,16,3995,41,1.25
Kenny,Invasion,29,22,5344,43,1.3181818181818181
Kenny,Karachi,36,31,7966,18,1.1612903225806452
Kenny,Rio,31,33,6358,83,0.9393939393939394
Kenny,Sub Base,19,18,3479,130,1.0555555555555556
Kenny,Terminal,8,7,1886,2,1.1428571428571428
KiSMET,Invasion,16,15,3147,1,1.0666666666666667
KiSMET,Karachi,24,24,4158,3,1.0
KiSMET,Rio,23,26,3860,105,0.8846153846153846
KiSMET,Skidrow,12,23,2502,39,0.5217391304347826
KiSMET,Sub Base,51,47,9350,136,1.0851063829787233
KiSMET,Terminal,17,10,3087,1,1.7
Kremp,Highrise,20,32,5305,3,0.625
Kremp,Invasion,23,22,4507,57,1.0454545454545454
Kremp,Karachi,6,17,1548,2,0.35294117647058826
Kremp,Rio,32,26,5332,42,1.2307692307692308
Kremp,Sub Base,23,30,5226,150,0.7666666666666667
Kremp,Terminal,3,6,929,1,0.5
Lucky,Highrise,15,4,2187,1,3.75
Lucky,Invasion,27,22,4080,59,1.2272727272727273
Lucky,Karachi,33,37,6623,10,0.8918918918918919
Lucky,Rio,30,30,6012,105,1.0
Lyynnz,Highrise,7,9,1606,0,0.7777777777777778
Lyynnz,Karachi,24,22,3962,1,1.0909090909090908
Lyynnz,Rio,24,26,4012,7,0.9230769230769231
MettalZ,Highrise,9,7,2301,3,1.2857142857142858
MettalZ,Invasion,16,33,4029,0,0.48484848484848486
MettalZ,Karachi,35,42,7277,6,0.8333333333333334
MettalZ,Rio,31,31,6127,94,1.0
Nastie,Highrise,23,28,5137,7,0.8214285714285714
Nastie,Invasion,25,19,4217,44,1.3157894736842106
Nastie,Karachi,7,17,2093,1,0.4117647058823529
Nastie,Rio,22,27,5245,56,0.8148148148148148
Nastie,Sub Base,41,35,7392,68,1.1714285714285715
Nastie,Terminal,3,7,806,0,0.42857142857142855
Nero,Highrise,7,4,931,1,1.75
Nero,Invasion,86,87,17582,102,0.9885057471264368
Nero,Karachi,34,40,7129,138,0.85
Nero,Rio,42,40,7399,201,1.05
Owakening,Highrise,5,7,1561,0,0.7142857142857143
Owakening,Karachi,18,21,5043,5,0.8571428571428571
Owakening,Rio,16,25,4046,57,0.64
Pred,Invasion,29,20,4743,40,1.45
Pred,Karachi,43,37,8452,7,1.162162162162162
Pred,Rio,25,33,5181,29,0.7575757575757576
Pred,Sub Base,27,19,5164,31,1.4210526315789473
Pred,Terminal,5,7,834,1,0.7142857142857143
Priestahh,Invasion,31,28,6017,5,1.1071428571428572
Priestahh,Karachi,19,23,3565,27,0.8260869565217391
Priestahh,Skidrow,17,15,3341,89,1.1333333333333333
Priestahh,Sub Base,20,23,4120,12,0.8695652173913043
Priestahh,Terminal,11,12,3034,3,0.9166666666666666
Purj,Highrise,4,6,1333,1,0.6666666666666666
Purj,Invasion,84,83,18337,101,1.0120481927710843
Purj,Karachi,47,38,7407,27,1.236842105263158
Purj,Rio,40,45,7335,102,0.8888888888888888
Scrap,Highrise,4,7,1218,2,0.5714285714285714
Scrap,Invasion,36,33,9763,2,1.0909090909090908
Scrap,Karachi,15,11,3147,2,1.3636363636363635
Scrap,Rio,55,47,10507,157,1.1702127659574468
Scrap,Sub Base,22,10,3518,135,2.2
Shotzzy,Invasion,21,25,4257,107,0.84
Shotzzy,Karachi,43,33,7319,15,1.303030303030303
Shotzzy,Rio,46,37,7916,80,1.2432432432432432
Shotzzy,Sub Base,20,22,3510,91,0.9090909090909091
Shotzzy,Terminal,3,8,916,0,0.375
Sib,Invasion,13,15,3338,1,0.8666666666666667
Sib,Karachi,28,25,6495,3,1.12
Sib,Rio,33,24,6057,84,1.375
Sib,Skidrow,13,18,2103,28,0.7222222222222222
Sib,Sub Base,49,39,8791,145,1.2564102564102564
Sib,Terminal,10,13,2847,3,0.7692307692307693
Simp,Highrise,45,33,8344,4,1.3636363636363635
Simp,Invasion,38,33,7186,48,1.1515151515151516
Simp,Sub Base,24,21,3975,18,1.1428571428571428
Skyz,Invasion,15,14,3371,0,1.0714285714285714
Skyz,Karachi,18,25,4347,0,0.72
