player,kills,deaths,damage,objMainStat,kdRatio
Abuzah,92,109,22920,381,0.8440366972477065
Accuracy,46,57,9531,77,0.8070175438596491
Afro,114,128,21456,223,0.890625
Arcitys,92,103,19905,88,0.8932038834951457
Asim,113,113,21725,168,1.0
Assault,120,138,26206,204,0.8695652173913043
Attach,185,169,40097,289,1.0946745562130178
Breszy,115,128,23602,84,0.8984375
Cellium,79,78,18281,133,1.0128205128205128
Clayster,29,58,7249,64,0.5
CleanX,129,104,26067,162,1.2403846153846154
Dashy,134,122,28542,193,1.098360655737705
Diamondcon,137,154,28839,182,0.8896103896103896
Drazah,89,80,18477,82,1.1125
Envoy,135,116,23911,272,1.1637931034482758
EriKBooM,91,105,17988,84,0.8666666666666667
Estreal,165,157,32928,139,1.0509554140127388
Fame,153,162,30269,227,0.9444444444444444
FelonY,49,47,10091,59,1.0425531914893618
Ghosty,135,119,28308,288,1.134453781512605
Gio,206,169,39282,224,1.2189349112426036
Gwinn,49,50,10081,40,0.98
Huke,121,131,24690,50,0.9236641221374046
HyDra,77,60,14418,25,1.2833333333333334
Hydra,84,84,17115,90,1.0
Insight,113,102,23844,202,1.107843137254902
Kenny,123,111,25033,276,1.1081081081081081
KiSMET,143,145,26104,285,0.9862068965517241
Kremp,107,133,22847,255,0.8045112781954887
Lucky,105,93,18902,175,1.1290322580645162
Lyynnz,55,57,9580,8,0.9649122807017544
MettalZ,91,113,19734,103,0.8053097345132744
Nastie,121,133,24890,176,0.9097744360902256
Nero,169,171,33041,442,0.9883040935672515
Owakening,39,53,10650,62,0.7358490566037735
Pred,129,116,24374,108,1.1120689655172413
Priestahh,98,101,20077,136,0.9702970297029703
Purj,175,172,34412,231,1.0174418604651163
Scrap,132,108,28153,298,1.2222222222222223
Shotzzy,133,125,23918,293,1.064
Sib,146,134,29631,264,1.0895522388059702
Simp,107,87,19505,70,1.2298850574712643
Skyz,121,130,26596,258,0.9307692307692308
SlasheR,95,90,20484,147,1.0555555555555556
Snoopy,101,101,19299,284,1.0
TJHaly,47,61,9376,14,0.7704918032786885
Vikul,96,93,18425,163,1.032258064516129
Vivid,57,61,11559,39,0.9344262295081968
aBeZy,72,90,14326,127,0.8
