,away_team,home_team,week,,num home games,,,week ,,,,,,,,,,
0,Carleton University,University of Windsor,3,,University of Windsor,8,,1,York University ,University of Windsor,University of Windsor,Carleton University,Carleton University,OTSU Esports ,Brock University,York University ,OTSU Esports ,Brock University
1,OTSU Esports ,University of Windsor,2,,Carleton University,7,,2,Brock University,University of Windsor,OTSU Esports ,University of Windsor,Carleton University,Brock University,York University ,OTSU Esports ,York University ,Carleton University
2,York University ,University of Windsor,1,,OTSU Esports ,6,,3,Carleton University,University of Windsor,Brock University,University of Windsor,York University ,Brock University,OTSU Esports ,York University ,OTSU Esports ,Carleton University
3,Brock University,University of Windsor,2,,York University ,5,,4,York University ,University of Windsor,OTSU Esports ,University of Windsor,Brock University,Carleton University,Brock University,Carleton University,York University ,OTSU Esports 
4,University of Windsor,Carleton University,1,,Brock University,4,,5,Carleton University,University of Windsor,University of Windsor,OTSU Esports ,Brock University,OTSU Esports ,Brock University,York University ,York University ,Carleton University
5,OTSU Esports ,Carleton University,6,,,,,6,University of Windsor,York University ,University of Windsor,Brock University,Brock University,OTSU Esports ,Carleton University,York University ,OTSU Esports ,Carleton University
6,York University ,Carleton University,5,,,,,,,,,,,,,,,
7,Brock University,Carleton University,4,,,,,,,,,,,,,,,
8,University of Windsor,OTSU Esports ,5,,,,,,,,,,,,,,,
9,Carleton University,OTSU Esports ,1,,,,,,,,,,,,,,,
10,York University ,OTSU Esports ,4,,,,,,,,,,,,,,,
11,Brock University,OTSU Esports ,6,,,,,,,,,,,,,,,
12,University of Windsor,York University ,6,,,,,,,,,,,,,,,
13,Carleton University,York University ,6,,,,,,,,,,,,,,,
14,OTSU Esports ,York University ,3,,,,,,,,,,,,,,,
15,Brock University,York University ,1,,,,,,,,,,,,,,,
16,University of Windsor,Brock University,6,,,,,,,,,,,,,,,
17,Carleton University,Brock University,2,,,,,,,,,,,,,,,
18,OTSU Esports ,Brock University,1,,,,,,,,,,,,,,,
19,York University ,Brock University,3,,,,,,,,,,,,,,,
20,Carleton University,University of Windsor,5,,,,,,,,,,,,,,,
21,OTSU Esports ,University of Windsor,4,,,,,,,,,,,,,,,
22,York University ,University of Windsor,4,,,,,,,,,,,,,,,
23,Brock University,University of Windsor,3,,,,,,,,,,,,,,,
24,OTSU Esports ,Carleton University,3,,,,,,,,,,,,,,,
25,York University ,Carleton University,2,,,,,,,,,,,,,,,
26,Brock University,Carleton University,4,,,,,,,,,,,,,,,
27,York University ,OTSU Esports ,2,,,,,,,,,,,,,,,
28,Brock University,OTSU Esports ,5,,,,,,,,,,,,,,,
29,Brock University,York University ,5,,,,,,,,,,,,,,,
