,away_team,home_team,week,,num home games,,,week ,,,,,,,,,,,,
0,University of Ottawa,Indiana University of Pennsylvania,,,Indiana University of Pennsylvania,7,,1,Rochester Institute of Technology (RIT Orange),Indiana University of Pennsylvania,Indiana University of Pennsylvania,University of Ottawa,University of Ottawa,Conestoga College (Academy White),Conestoga College (Academy White),Western University Main,Western University Main,Western University ACAD,Western University ACAD,Rochester Institute of Technology (RIT Orange)
1,Conestoga College (Academy White),Indiana University of Pennsylvania,,,University of Ottawa,6,,2,,,,,,,,,,,,
2,Western University Main,Indiana University of Pennsylvania,,,Conestoga College (Academy White),5,,3,,,,,,,,,,,,
3,Western University ACAD,Indiana University of Pennsylvania,,,Western University Main,7,,4,,,,,,,,,,,,
4,Rochester Institute of Technology (RIT Orange),Indiana University of Pennsylvania,1,,Western University ACAD,6,,5,,,,,,,,,,,,
5,Indiana University of Pennsylvania,University of Ottawa,1,,Rochester Institute of Technology (RIT Orange),5,,6,,,,,,,,,,,,
6,Conestoga College (Academy White),University of Ottawa,,,,,,,,,,,,,,,,,,
7,Western University Main,University of Ottawa,,,,,,,,,,,,,,,,,,
8,Western University ACAD,University of Ottawa,,,,,,,,,,,,,,,,,,
9,Rochester Institute of Technology (RIT Orange),University of Ottawa,,,,,,,,,,,,,,,,,,
10,Indiana University of Pennsylvania,Conestoga College (Academy White),,,,,,,,,,,,,,,,,,
11,University of Ottawa,Conestoga College (Academy White),1,,,,,,,,,,,,,,,,,
12,Western University Main,Conestoga College (Academy White),,,,,,,,,,,,,,,,,,
13,Western University ACAD,Conestoga College (Academy White),,,,,,,,,,,,,,,,,,
14,Rochester Institute of Technology (RIT Orange),Conestoga College (Academy White),,,,,,,,,,,,,,,,,,
15,Indiana University of Pennsylvania,Western University Main,,,,,,,,,,,,,,,,,,
16,University of Ottawa,Western University Main,,,,,,,,,,,,,,,,,,
17,Conestoga College (Academy White),Western University Main,1,,,,,,,,,,,,,,,,,
18,Western University ACAD,Western University Main,,,,,,,,,,,,,,,,,,
19,Rochester Institute of Technology (RIT Orange),Western University Main,,,,,,,,,,,,,,,,,,
20,Indiana University of Pennsylvania,Western University ACAD,,,,,,,,,,,,,,,,,,
21,University of Ottawa,Western University ACAD,,,,,,,,,,,,,,,,,,
22,Conestoga College (Academy White),Western University ACAD,,,,,,,,,,,,,,,,,,
23,Western University Main,Western University ACAD,1,,,,,,,,,,,,,,,,,
24,Rochester Institute of Technology (RIT Orange),Western University ACAD,,,,,,,,,,,,,,,,,,
25,Indiana University of Pennsylvania,Rochester Institute of Technology (RIT Orange),,,,,,,,,,,,,,,,,,
26,University of Ottawa,Rochester Institute of Technology (RIT Orange),,,,,,,,,,,,,,,,,,
27,Conestoga College (Academy White),Rochester Institute of Technology (RIT Orange),,,,,,,,,,,,,,,,,,
28,Western University Main,Rochester Institute of Technology (RIT Orange),,,,,,,,,,,,,,,,,,
29,Western University ACAD,Rochester Institute of Technology (RIT Orange),1,,,,,,,,,,,,,,,,,
30,University of Ottawa,Indiana University of Pennsylvania,,,,,,,,,,,,,,,,,,
31,Conestoga College (Academy White),Indiana University of Pennsylvania,,,,,,,,,,,,,,,,,,
32,Conestoga College (Academy White),University of Ottawa,,,,,,,,,,,,,,,,,,
33,Western University ACAD,Western University Main,,,,,,,,,,,,,,,,,,
34,Rochester Institute of Technology (RIT Orange),Western University Main,,,,,,,,,,,,,,,,,,
35,Rochester Institute of Technology (RIT Orange),Western University ACAD,,,,,,,,,,,,,,,,,,
