,away_team,home_team
0,Miami University of Ohio,Ohio University
1,American Public University ,Ohio University
2,UC RED (Cincinnati),Ohio University
3,UC BLACK (Cincinnati),Ohio University
4,Marshall University,Ohio University
5,Ohio University,Miami University of Ohio
6,American Public University ,Miami University of Ohio
7,UC RED (Cincinnati),Miami University of Ohio
8,UC BLACK (Cincinnati),Miami University of Ohio
9,Marshall University,Miami University of Ohio
10,Ohio University,American Public University 
11,Miami University of Ohio,American Public University 
12,UC RED (Cincinnati),American Public University 
13,UC BLACK (Cincinnati),American Public University 
14,Marshall University,American Public University 
15,Ohio University,UC RED (Cincinnati)
16,Miami University of Ohio,UC RED (Cincinnati)
17,American Public University ,UC RED (Cincinnati)
18,UC BLACK (Cincinnati),UC RED (Cincinnati)
19,Marshall University,UC RED (Cincinnati)
20,Ohio University,UC BLACK (Cincinnati)
21,Miami University of Ohio,UC BLACK (Cincinnati)
22,American Public University ,UC BLACK (Cincinnati)
23,UC RED (Cincinnati),UC BLACK (Cincinnati)
24,Marshall University,UC BLACK (Cincinnati)
25,Ohio University,Marshall University
26,Miami University of Ohio,Marshall University
27,American Public University ,Marshall University
28,UC RED (Cincinnati),Marshall University
29,UC BLACK (Cincinnati),Marshall University
30,Miami University of Ohio,Ohio University
31,American Public University ,Ohio University
32,American Public University ,Miami University of Ohio
33,UC BLACK (Cincinnati),UC RED (Cincinnati)
34,Marshall University,UC RED (Cincinnati)
35,Marshall University,UC BLACK (Cincinnati)
