,away_team,home_team
0,Shenandoah University,Eastern Michigan University 
1,Cumberland University Academy,Eastern Michigan University 
2,McMaster Marauders,Eastern Michigan University 
3,Fanshawe College,Eastern Michigan University 
4,Rutgers ,Eastern Michigan University 
5,University of Akron,Eastern Michigan University 
6,Eastern Michigan University ,Shenandoah University
7,Cumberland University Academy,Shenandoah University
8,McMaster Marauders,Shenandoah University
9,Fanshawe College,Shenandoah University
10,Rutgers ,Shenandoah University
11,University of Akron,Shenandoah University
12,Eastern Michigan University ,Cumberland University Academy
13,Shenandoah University,Cumberland University Academy
14,McMaster Marauders,Cumberland University Academy
15,Fanshawe College,Cumberland University Academy
16,Rutgers ,Cumberland University Academy
17,University of Akron,Cumberland University Academy
18,Eastern Michigan University ,McMaster Marauders
19,Shenandoah University,McMaster Marauders
20,Cumberland University Academy,McMaster Marauders
21,Fanshawe College,McMaster Marauders
22,Rutgers ,McMaster Marauders
23,University of Akron,McMaster Marauders
24,Eastern Michigan University ,Fanshawe College
25,Shenandoah University,Fanshawe College
26,Cumberland University Academy,Fanshawe College
27,McMaster Marauders,Fanshawe College
28,Rutgers ,Fanshawe College
29,University of Akron,Fanshawe College
30,Eastern Michigan University ,Rutgers 
31,Shenandoah University,Rutgers 
32,Cumberland University Academy,Rutgers 
33,McMaster Marauders,Rutgers 
34,Fanshawe College,Rutgers 
35,University of Akron,Rutgers 
36,Eastern Michigan University ,University of Akron
37,Shenandoah University,University of Akron
38,Cumberland University Academy,University of Akron
39,McMaster Marauders,University of Akron
40,Fanshawe College,University of Akron
41,Rutgers ,University of Akron
