,away_team,home_team
0,CSU Fullerton Blue,Oklahoma Christian University
1,Cumberland University,Oklahoma Christian University
2,St. Edward's University ,Oklahoma Christian University
3,Ole Miss,Oklahoma Christian University
4,Independence Community College,Oklahoma Christian University
5,Oklahoma Christian University,CSU Fullerton Blue
6,Cumberland University,CSU Fullerton Blue
7,St. Edward's University ,CSU Fullerton Blue
8,Ole Miss,CSU Fullerton Blue
9,Independence Community College,CSU Fullerton Blue
10,Oklahoma Christian University,Cumberland University
11,CSU Fullerton Blue,Cumberland University
12,St. Edward's University ,Cumberland University
13,Ole Miss,Cumberland University
14,Independence Community College,Cumberland University
15,Oklahoma Christian University,St. Edward's University 
16,CSU Fullerton Blue,St. Edward's University 
17,Cumberland University,St. Edward's University 
18,Ole Miss,St. Edward's University 
19,Independence Community College,St. Edward's University 
20,Oklahoma Christian University,Ole Miss
21,CSU Fullerton Blue,Ole Miss
22,Cumberland University,Ole Miss
23,St. Edward's University ,Ole Miss
24,Independence Community College,Ole Miss
25,Oklahoma Christian University,Independence Community College
26,CSU Fullerton Blue,Independence Community College
27,Cumberland University,Independence Community College
28,St. Edward's University ,Independence Community College
29,Ole Miss,Independence Community College
30,CSU Fullerton Blue,Oklahoma Christian University
31,Cumberland University,Oklahoma Christian University
32,Cumberland University,CSU Fullerton Blue
33,Ole Miss,St. Edward's University 
34,Independence Community College,St. Edward's University 
35,Independence Community College,Ole Miss
