,away_team,home_team
0,Night Owls(FAU),Kennesaw State University
1,Florida Polytechnic University,Kennesaw State University
2,UCF Knights Gray,Kennesaw State University
3,University of Alabama,Kennesaw State University
4,UCF Knights Academy,Kennesaw State University
5,Kennesaw State University,Night Owls(FAU)
6,Florida Polytechnic University,Night Owls(FAU)
7,UCF Knights Gray,Night Owls(FAU)
8,University of Alabama,Night Owls(FAU)
9,UCF Knights Academy,Night Owls(FAU)
10,Kennesaw State University,Florida Polytechnic University
11,Night Owls(FAU),Florida Polytechnic University
12,UCF Knights Gray,Florida Polytechnic University
13,University of Alabama,Florida Polytechnic University
14,UCF Knights Academy,Florida Polytechnic University
15,Kennesaw State University,UCF Knights Gray
16,Night Owls(FAU),UCF Knights Gray
17,Florida Polytechnic University,UCF Knights Gray
18,University of Alabama,UCF Knights Gray
19,UCF Knights Academy,UCF Knights Gray
20,Kennesaw State University,University of Alabama
21,Night Owls(FAU),University of Alabama
22,Florida Polytechnic University,University of Alabama
23,UCF Knights Gray,University of Alabama
24,UCF Knights Academy,University of Alabama
25,Kennesaw State University,UCF Knights Academy
26,Night Owls(FAU),UCF Knights Academy
27,Florida Polytechnic University,UCF Knights Academy
28,UCF Knights Gray,UCF Knights Academy
29,University of Alabama,UCF Knights Academy
30,Night Owls(FAU),Kennesaw State University
31,Florida Polytechnic University,Kennesaw State University
32,Florida Polytechnic University,Night Owls(FAU)
33,University of Alabama,UCF Knights Gray
34,UCF Knights Academy,UCF Knights Gray
35,UCF Knights Academy,University of Alabama
