,away_team,home_team
0,The University of Tennessee at Chattanooga,University of Nebraska-Lincoln
1,University of North Texas Dallas,University of Nebraska-Lincoln
2,Dakota State University,University of Nebraska-Lincoln
3,Roosevelt University,University of Nebraska-Lincoln
4,California State University San Bernardino ,University of Nebraska-Lincoln
5,Keyano College,University of Nebraska-Lincoln
6,University of Nebraska-Lincoln,The University of Tennessee at Chattanooga
7,University of North Texas Dallas,The University of Tennessee at Chattanooga
8,Dakota State University,The University of Tennessee at Chattanooga
9,Roosevelt University,The University of Tennessee at Chattanooga
10,California State University San Bernardino ,The University of Tennessee at Chattanooga
11,Keyano College,The University of Tennessee at Chattanooga
12,University of Nebraska-Lincoln,University of North Texas Dallas
13,The University of Tennessee at Chattanooga,University of North Texas Dallas
14,Dakota State University,University of North Texas Dallas
15,Roosevelt University,University of North Texas Dallas
16,California State University San Bernardino ,University of North Texas Dallas
17,Keyano College,University of North Texas Dallas
18,University of Nebraska-Lincoln,Dakota State University
19,The University of Tennessee at Chattanooga,Dakota State University
20,University of North Texas Dallas,Dakota State University
21,Roosevelt University,Dakota State University
22,California State University San Bernardino ,Dakota State University
23,Keyano College,Dakota State University
24,University of Nebraska-Lincoln,Roosevelt University
25,The University of Tennessee at Chattanooga,Roosevelt University
26,University of North Texas Dallas,Roosevelt University
27,Dakota State University,Roosevelt University
28,California State University San Bernardino ,Roosevelt University
29,Keyano College,Roosevelt University
30,University of Nebraska-Lincoln,California State University San Bernardino 
31,The University of Tennessee at Chattanooga,California State University San Bernardino 
32,University of North Texas Dallas,California State University San Bernardino 
33,Dakota State University,California State University San Bernardino 
34,Roosevelt University,California State University San Bernardino 
35,Keyano College,California State University San Bernardino 
36,University of Nebraska-Lincoln,Keyano College
37,The University of Tennessee at Chattanooga,Keyano College
38,University of North Texas Dallas,Keyano College
39,Dakota State University,Keyano College
40,Roosevelt University,Keyano College
41,California State University San Bernardino ,Keyano College
