,index,away_team,home_team
0,2,St. Edward's University ,Oklahoma Christian University
1,3,Ole Miss,Oklahoma Christian University
2,4,Independence Community College,Oklahoma Christian University
3,5,Midway University,Oklahoma Christian University
4,6,Utah Valley Esports,Oklahoma Christian University
5,7,Oklahoma Christian University,CSU Fullerton Blue
6,9,St. Edward's University ,CSU Fullerton Blue
7,10,Ole Miss,CSU Fullerton Blue
8,11,Independence Community College,CSU Fullerton Blue
9,12,Midway University,CSU Fullerton Blue
10,13,Utah Valley Esports,CSU Fullerton Blue
11,14,Oklahoma Christian University,Cumberland University
12,15,CSU Fullerton Blue,Cumberland University
13,16,St. Edward's University ,Cumberland University
14,17,Ole Miss,Cumberland University
15,18,Independence Community College,Cumberland University
16,19,Midway University,Cumberland University
17,20,Utah Valley Esports,Cumberland University
18,21,Oklahoma Christian University,St. Edward's University 
19,22,CSU Fullerton Blue,St. Edward's University 
20,23,Cumberland University,St. Edward's University 
21,26,Midway University,St. Edward's University 
22,27,Utah Valley Esports,St. Edward's University 
23,28,Oklahoma Christian University,Ole Miss
24,29,CSU Fullerton Blue,Ole Miss
25,30,Cumberland University,Ole Miss
26,31,St. Edward's University ,Ole Miss
27,33,Midway University,Ole Miss
28,34,Utah Valley Esports,Ole Miss
29,35,Oklahoma Christian University,Independence Community College
30,36,CSU Fullerton Blue,Independence Community College
31,37,Cumberland University,Independence Community College
32,38,St. Edward's University ,Independence Community College
33,39,Ole Miss,Independence Community College
34,40,Midway University,Independence Community College
35,41,Utah Valley Esports,Independence Community College
36,42,Oklahoma Christian University,Midway University
37,43,CSU Fullerton Blue,Midway University
38,44,Cumberland University,Midway University
39,45,St. Edward's University ,Midway University
40,46,Ole Miss,Midway University
41,47,Independence Community College,Midway University
42,49,Oklahoma Christian University,Utah Valley Esports
43,50,CSU Fullerton Blue,Utah Valley Esports
44,51,Cumberland University,Utah Valley Esports
45,52,St. Edward's University ,Utah Valley Esports
46,53,Ole Miss,Utah Valley Esports
47,54,Independence Community College,Utah Valley Esports
