,away_team,home_team,week,,,,
0,Carleton University,University of Windsor,,,30 matches,6 weeks,5 matches per week
1,OTSU Esports ,University of Windsor,,,,,
2,York University ,University of Windsor,WEEK1,,,,
3,Brock University,University of Windsor,,,,,
4,University of Windsor,Carleton University,WEEK1,,,,
5,OTSU Esports ,Carleton University,,,,,
6,York University ,Carleton University,,,,,
7,Brock University,Carleton University,,,,,
8,University of Windsor,OTSU Esports ,,,,,
9,Carleton University,OTSU Esports ,WEEK1,,,,
10,York University ,OTSU Esports ,,,,,
11,Brock University,OTSU Esports ,,,,,
12,University of Windsor,York University ,,,,,
13,Carleton University,York University ,,,,,
14,OTSU Esports ,York University ,,,,,
15,Brock University,York University ,WEEK1,,,,
16,University of Windsor,Brock University,,,,,
17,Carleton University,Brock University,,,,,
18,OTSU Esports ,Brock University,WEEK1,,,,
19,York University ,Brock University,,,,,
20,Carleton University,University of Windsor,,,,,
21,OTSU Esports ,University of Windsor,,,,,
22,York University ,University of Windsor,,,,,
23,Brock University,University of Windsor,,,,,
24,OTSU Esports ,Carleton University,,,,,
25,York University ,Carleton University,,,,,
26,Brock University,Carleton University,,,,,
27,York University ,OTSU Esports ,,,,,
28,Brock University,OTSU Esports ,,,,,
29,Brock University,York University ,,,,,
