,away_team,home_team,week,,,,,
0,Shenandoah University,Eastern Michigan University ,,,,42 matches ,6 weeks,7 matches per week
1,Cumberland University,Eastern Michigan University ,,,,,,
2,McMaster Marauders,Eastern Michigan University ,,,,,,
3,Fanshawe College,Eastern Michigan University ,,,,,,
4,Rutgers ,Eastern Michigan University ,,,,,,
5,University of Akron,Eastern Michigan University ,WEEK1,,,,,
6,Eastern Michigan University ,Shenandoah University,,,,,,
7,Cumberland University,Shenandoah University,,,,,,
8,McMaster Marauders,Shenandoah University,,,,,,
9,Fanshawe College,Shenandoah University,,,,,,
10,Rutgers ,Shenandoah University,WEEK1,,,,,
11,University of Akron,Shenandoah University,,,,,,
12,Eastern Michigan University ,Cumberland University,,,,,,
13,Shenandoah University,Cumberland University,,,,,,
14,McMaster Marauders,Cumberland University,,,,,,
15,Fanshawe College,Cumberland University,WEEK1,,,,,
16,Rutgers ,Cumberland University,,,,,,
17,University of Akron,Cumberland University,,,,,,
18,Eastern Michigan University ,McMaster Marauders,WEEK1,,,,,
19,Shenandoah University,McMaster Marauders,,,,,,
20,Cumberland University,McMaster Marauders,,,,,,
21,Fanshawe College,McMaster Marauders,,,,,,
22,Rutgers ,McMaster Marauders,,,,,,
23,University of Akron,McMaster Marauders,,,,,,
24,Eastern Michigan University ,Fanshawe College,,,,,,
25,Shenandoah University,Fanshawe College,,,,,,
26,Cumberland University,Fanshawe College,,,,,,
27,McMaster Marauders,Fanshawe College,WEEK1,,,,,
28,Rutgers ,Fanshawe College,,,,,,
29,University of Akron,Fanshawe College,,,,,,
30,Eastern Michigan University ,Rutgers ,,,,,,
31,Shenandoah University,Rutgers ,,,,,,
32,Cumberland University,Rutgers ,WEEK1,,,,,
33,McMaster Marauders,Rutgers ,,,,,,
34,Fanshawe College,Rutgers ,,,,,,
35,University of Akron,Rutgers ,,,,,,
36,Eastern Michigan University ,University of Akron,,,,,,
37,Shenandoah University,University of Akron,WEEK1,,,,,
38,Cumberland University,University of Akron,,,,,,
39,McMaster Marauders,University of Akron,,,,,,
40,Fanshawe College,University of Akron,,,,,,
41,Rutgers ,University of Akron,,,,,,
