,away_team,home_team
week0,University of Texas at Arlington 1,Oklahoma State University
week0,University of Texas at San Antonio (UTSA),University of Texas at Arlington 2
week0,Texas A&M White,Minnesota State University Moorhead
week0,University of Texas at Arlington 1,Oklahoma State University
week0,University of Texas at San Antonio (UTSA),University of Texas at Arlington 2
week0,Texas A&M White,Minnesota State University Moorhead
week1,University of Texas at Arlington 2,Oklahoma State University
week1,University of Texas at San Antonio (UTSA),University of Texas at Arlington 1
week1,Minnesota State University Moorhead,Texas A&M White
week1,University of Texas at Arlington 2,Oklahoma State University
week1,University of Texas at San Antonio (UTSA),University of Texas at Arlington 1
week1,Minnesota State University Moorhead,Texas A&M White
week2,University of Texas at San Antonio (UTSA),Oklahoma State University
week2,University of Texas at Arlington 2,University of Texas at Arlington 1
week2,Texas A&M White,Minnesota State University Moorhead
week2,University of Texas at San Antonio (UTSA),Oklahoma State University
week2,University of Texas at Arlington 2,University of Texas at Arlington 1
week2,Texas A&M White,Minnesota State University Moorhead
week3,Minnesota State University Moorhead,Oklahoma State University
week3,Texas A&M White,University of Texas at Arlington 1
week3,University of Texas at Arlington 2,University of Texas at San Antonio (UTSA)
week3,Minnesota State University Moorhead,Oklahoma State University
week3,Texas A&M White,University of Texas at Arlington 1
week3,University of Texas at Arlington 2,University of Texas at San Antonio (UTSA)
week4,Texas A&M White,Oklahoma State University
week4,Minnesota State University Moorhead,University of Texas at Arlington 1
week4,University of Texas at Arlington 2,Oklahoma State University
week4,University of Texas at San Antonio (UTSA),Oklahoma State University
week4,Texas A&M White,Oklahoma State University
week4,Oklahoma State University,University of Texas at Arlington 1
week4,Oklahoma State University,University of Texas at Arlington 2
week4,Oklahoma State University,University of Texas at San Antonio (UTSA)
week4,Oklahoma State University,Minnesota State University Moorhead
week5,Oklahoma State University,University of Texas at Arlington 1
week5,Minnesota State University Moorhead,University of Texas at Arlington 2
week5,Texas A&M White,University of Texas at San Antonio (UTSA)
week5,Minnesota State University Moorhead,University of Texas at Arlington 1
week5,Texas A&M White,University of Texas at Arlington 2
