,away_team,home_team
week0,University of Ottawa,Indiana University of Pennsylvania
week0,Western University Main,Conestoga College (Academy White)
week0,Rochester Institute of Technology (RIT Orange),Western University ACAD
week0,University of Ottawa,Indiana University of Pennsylvania
week0,Western University Main,Conestoga College (Academy White)
week0,Rochester Institute of Technology (RIT Orange),Western University ACAD
week1,Conestoga College (Academy White),Indiana University of Pennsylvania
week1,Western University Main,University of Ottawa
week1,Western University ACAD,Rochester Institute of Technology (RIT Orange)
week1,Conestoga College (Academy White),Indiana University of Pennsylvania
week1,Western University Main,University of Ottawa
week1,Western University ACAD,Rochester Institute of Technology (RIT Orange)
week2,Western University Main,Indiana University of Pennsylvania
week2,Conestoga College (Academy White),University of Ottawa
week2,Rochester Institute of Technology (RIT Orange),Western University ACAD
week2,Western University Main,Indiana University of Pennsylvania
week2,Conestoga College (Academy White),University of Ottawa
week2,Rochester Institute of Technology (RIT Orange),Western University ACAD
week3,Western University ACAD,Indiana University of Pennsylvania
week3,Rochester Institute of Technology (RIT Orange),University of Ottawa
week3,Conestoga College (Academy White),Western University Main
week3,Western University ACAD,Indiana University of Pennsylvania
week3,Rochester Institute of Technology (RIT Orange),University of Ottawa
week3,Conestoga College (Academy White),Western University Main
week4,Rochester Institute of Technology (RIT Orange),Indiana University of Pennsylvania
week4,Western University ACAD,University of Ottawa
week4,Conestoga College (Academy White),Indiana University of Pennsylvania
week4,Western University Main,Indiana University of Pennsylvania
week4,Rochester Institute of Technology (RIT Orange),Indiana University of Pennsylvania
week4,Indiana University of Pennsylvania,University of Ottawa
week4,Indiana University of Pennsylvania,Conestoga College (Academy White)
week4,Indiana University of Pennsylvania,Western University Main
week4,Indiana University of Pennsylvania,Western University ACAD
week5,Indiana University of Pennsylvania,University of Ottawa
week5,Western University ACAD,Conestoga College (Academy White)
week5,Rochester Institute of Technology (RIT Orange),Western University Main
week5,Western University ACAD,University of Ottawa
week5,Rochester Institute of Technology (RIT Orange),Conestoga College (Academy White)
