,away_team,home_team
week0,James Madison University,Purdue University Northwest
week0,Concord University ,Full Sail University (Team Name: Full Sail Armada)
week0,Newberry College JV,UCF Knights
week0,Thunderbirds Blue (FGCU),Purdue University Northwest
week0,Full Sail University (Team Name: Full Sail Armada),James Madison University
week0,UCF Knights,Concord University 
week0,Thunderbirds Blue (FGCU),Newberry College JV
week1,Full Sail University (Team Name: Full Sail Armada),Purdue University Northwest
week1,Concord University ,James Madison University
week1,Thunderbirds Blue (FGCU),UCF Knights
week1,Newberry College JV,Purdue University Northwest
week1,Concord University ,James Madison University
week1,UCF Knights,Full Sail University (Team Name: Full Sail Armada)
week1,Newberry College JV,Thunderbirds Blue (FGCU)
week2,Concord University ,Purdue University Northwest
week2,Full Sail University (Team Name: Full Sail Armada),James Madison University
week2,UCF Knights,Newberry College JV
week2,Thunderbirds Blue (FGCU),James Madison University
week2,Full Sail University (Team Name: Full Sail Armada),Purdue University Northwest
week2,Newberry College JV,Concord University 
week2,Thunderbirds Blue (FGCU),UCF Knights
week3,UCF Knights,Purdue University Northwest
week3,Newberry College JV,James Madison University
week3,Thunderbirds Blue (FGCU),Full Sail University (Team Name: Full Sail Armada)
week3,Concord University ,Purdue University Northwest
week3,UCF Knights,James Madison University
week3,Concord University ,Full Sail University (Team Name: Full Sail Armada)
week4,Newberry College JV,Purdue University Northwest
week4,UCF Knights,James Madison University
week4,Full Sail University (Team Name: Full Sail Armada),Concord University 
week4,Thunderbirds Blue (FGCU),Full Sail University (Team Name: Full Sail Armada)
week4,James Madison University,Purdue University Northwest
week4,Thunderbirds Blue (FGCU),Concord University 
week4,Newberry College JV,UCF Knights
week5,Thunderbirds Blue (FGCU),Purdue University Northwest
week5,James Madison University,Full Sail University (Team Name: Full Sail Armada)
week5,UCF Knights,Concord University 
week5,Newberry College JV,James Madison University
week5,Concord University ,Purdue University Northwest
week5,Newberry College JV,Full Sail University (Team Name: Full Sail Armada)
week5,UCF Knights,Thunderbirds Blue (FGCU)
