,away_team,home_team
week0,St. Edward's University ,Oklahoma Christian University
week0,Ole Miss,CSU Fullerton Blue
week0,Independence Community College,Cumberland University
week0,Midway University,Oklahoma Christian University
week0,Utah Valley Esports,Oklahoma Christian University
week0,St. Edward's University ,Oklahoma Christian University
week0,Ole Miss,Oklahoma Christian University
week0,Independence Community College,Oklahoma Christian University
week0,Midway University,Oklahoma Christian University
week0,Utah Valley Esports,Oklahoma Christian University
week0,Oklahoma Christian University,CSU Fullerton Blue
week0,Oklahoma Christian University,Cumberland University
week1,Ole Miss,Oklahoma Christian University
week1,St. Edward's University ,CSU Fullerton Blue
week1,Midway University,Cumberland University
week1,Utah Valley Esports,Independence Community College
week1,St. Edward's University ,CSU Fullerton Blue
week1,Ole Miss,Cumberland University
week1,Oklahoma Christian University,Independence Community College
week2,Independence Community College,Oklahoma Christian University
week2,Midway University,CSU Fullerton Blue
week2,St. Edward's University ,Cumberland University
week2,Utah Valley Esports,Ole Miss
week2,Ole Miss,CSU Fullerton Blue
week2,St. Edward's University ,Cumberland University
week2,Midway University,Independence Community College
week2,Oklahoma Christian University,Utah Valley Esports
week3,Midway University,Oklahoma Christian University
week3,Independence Community College,CSU Fullerton Blue
week3,Ole Miss,Cumberland University
week3,Utah Valley Esports,St. Edward's University 
week3,Independence Community College,CSU Fullerton Blue
week3,Midway University,Cumberland University
week3,Oklahoma Christian University,St. Edward's University 
week3,Utah Valley Esports,Ole Miss
week4,Utah Valley Esports,Oklahoma Christian University
week4,CSU Fullerton Blue,Cumberland University
week4,Midway University,St. Edward's University 
week4,Ole Miss,Independence Community College
week4,Midway University,CSU Fullerton Blue
week4,Independence Community College,Cumberland University
week4,Utah Valley Esports,St. Edward's University 
week4,Oklahoma Christian University,Ole Miss
week5,Oklahoma Christian University,CSU Fullerton Blue
week5,Utah Valley Esports,Cumberland University
week5,St. Edward's University ,Ole Miss
week5,Midway University,Independence Community College
week5,Utah Valley Esports,CSU Fullerton Blue
week5,Cumberland University,St. Edward's University 
week5,Midway University,Ole Miss
