,away_team,home_team
0,University of Texas at Arlington 1,Oklahoma State University
1,University of Texas at Arlington 2,Oklahoma State University
2,University of Texas at San Antonio (UTSA),Oklahoma State University
3,Minnesota State University Moorhead,Oklahoma State University
4,Texas A&M White,Oklahoma State University
5,Oklahoma State University,University of Texas at Arlington 1
6,University of Texas at Arlington 2,University of Texas at Arlington 1
7,University of Texas at San Antonio (UTSA),University of Texas at Arlington 1
8,Minnesota State University Moorhead,University of Texas at Arlington 1
9,Texas A&M White,University of Texas at Arlington 1
10,Oklahoma State University,University of Texas at Arlington 2
11,University of Texas at Arlington 1,University of Texas at Arlington 2
12,University of Texas at San Antonio (UTSA),University of Texas at Arlington 2
13,Minnesota State University Moorhead,University of Texas at Arlington 2
14,Texas A&M White,University of Texas at Arlington 2
15,Oklahoma State University,University of Texas at San Antonio (UTSA)
16,University of Texas at Arlington 1,University of Texas at San Antonio (UTSA)
17,University of Texas at Arlington 2,University of Texas at San Antonio (UTSA)
18,Minnesota State University Moorhead,University of Texas at San Antonio (UTSA)
19,Texas A&M White,University of Texas at San Antonio (UTSA)
20,Oklahoma State University,Minnesota State University Moorhead
21,University of Texas at Arlington 1,Minnesota State University Moorhead
22,University of Texas at Arlington 2,Minnesota State University Moorhead
23,University of Texas at San Antonio (UTSA),Minnesota State University Moorhead
24,Texas A&M White,Minnesota State University Moorhead
25,Oklahoma State University,Texas A&M White
26,University of Texas at Arlington 1,Texas A&M White
27,University of Texas at Arlington 2,Texas A&M White
28,University of Texas at San Antonio (UTSA),Texas A&M White
29,Minnesota State University Moorhead,Texas A&M White
30,University of Texas at Arlington 1,Oklahoma State University
31,University of Texas at Arlington 2,Oklahoma State University
32,University of Texas at Arlington 2,University of Texas at Arlington 1
33,Minnesota State University Moorhead,University of Texas at San Antonio (UTSA)
34,Texas A&M White,University of Texas at San Antonio (UTSA)
35,Texas A&M White,Minnesota State University Moorhead
