,away_team,home_team
0,CSU Fullerton Orange,San Jose State (Blue)
1,CSULB Gold,San Jose State (Blue)
2,"University of California, San Diego",San Jose State (Blue)
3,California State University of Northridge Academy,San Jose State (Blue)
4,San Diego State,San Jose State (Blue)
5,San Jose State (Blue),CSU Fullerton Orange
6,CSULB Gold,CSU Fullerton Orange
7,"University of California, San Diego",CSU Fullerton Orange
8,California State University of Northridge Academy,CSU Fullerton Orange
9,San Diego State,CSU Fullerton Orange
10,San Jose State (Blue),CSULB Gold
11,CSU Fullerton Orange,CSULB Gold
12,"University of California, San Diego",CSULB Gold
13,California State University of Northridge Academy,CSULB Gold
14,San Diego State,CSULB Gold
15,San Jose State (Blue),"University of California, San Diego"
16,CSU Fullerton Orange,"University of California, San Diego"
17,CSULB Gold,"University of California, San Diego"
18,California State University of Northridge Academy,"University of California, San Diego"
19,San Diego State,"University of California, San Diego"
20,San Jose State (Blue),California State University of Northridge Academy
21,CSU Fullerton Orange,California State University of Northridge Academy
22,CSULB Gold,California State University of Northridge Academy
23,"University of California, San Diego",California State University of Northridge Academy
24,San Diego State,California State University of Northridge Academy
25,San Jose State (Blue),San Diego State
26,CSU Fullerton Orange,San Diego State
27,CSULB Gold,San Diego State
28,"University of California, San Diego",San Diego State
29,California State University of Northridge Academy,San Diego State
30,CSU Fullerton Orange,San Jose State (Blue)
31,CSULB Gold,San Jose State (Blue)
32,CSULB Gold,CSU Fullerton Orange
33,California State University of Northridge Academy,"University of California, San Diego"
34,San Diego State,"University of California, San Diego"
35,San Diego State,California State University of Northridge Academy
