,index,away_team,home_team
0,2,Dakota State University,University of Nebraska-Lincoln
1,3,Roosevelt University,University of Nebraska-Lincoln
2,4,California State University San Bernardino ,University of Nebraska-Lincoln
3,5,Keyano College,University of Nebraska-Lincoln
4,6,Utah Valley Esports,University of Nebraska-Lincoln
5,7,University of Nebraska-Lincoln,The University of Tennessee at Chattanooga
6,9,Dakota State University,The University of Tennessee at Chattanooga
7,10,Roosevelt University,The University of Tennessee at Chattanooga
8,11,California State University San Bernardino ,The University of Tennessee at Chattanooga
9,12,Keyano College,The University of Tennessee at Chattanooga
10,13,Utah Valley Esports,The University of Tennessee at Chattanooga
11,14,University of Nebraska-Lincoln,University of North Texas Dallas
12,15,The University of Tennessee at Chattanooga,University of North Texas Dallas
13,16,Dakota State University,University of North Texas Dallas
14,17,Roosevelt University,University of North Texas Dallas
15,18,California State University San Bernardino ,University of North Texas Dallas
16,19,Keyano College,University of North Texas Dallas
17,20,Utah Valley Esports,University of North Texas Dallas
18,21,University of Nebraska-Lincoln,Dakota State University
19,22,The University of Tennessee at Chattanooga,Dakota State University
20,23,University of North Texas Dallas,Dakota State University
21,26,Keyano College,Dakota State University
22,27,Utah Valley Esports,Dakota State University
23,28,University of Nebraska-Lincoln,Roosevelt University
24,29,The University of Tennessee at Chattanooga,Roosevelt University
25,30,University of North Texas Dallas,Roosevelt University
26,31,Dakota State University,Roosevelt University
27,33,Keyano College,Roosevelt University
28,34,Utah Valley Esports,Roosevelt University
29,35,University of Nebraska-Lincoln,California State University San Bernardino 
30,36,The University of Tennessee at Chattanooga,California State University San Bernardino 
31,37,University of North Texas Dallas,California State University San Bernardino 
32,38,Dakota State University,California State University San Bernardino 
33,39,Roosevelt University,California State University San Bernardino 
34,40,Keyano College,California State University San Bernardino 
35,41,Utah Valley Esports,California State University San Bernardino 
36,42,University of Nebraska-Lincoln,Keyano College
37,43,The University of Tennessee at Chattanooga,Keyano College
38,44,University of North Texas Dallas,Keyano College
39,45,Dakota State University,Keyano College
40,46,Roosevelt University,Keyano College
41,47,California State University San Bernardino ,Keyano College
42,49,University of Nebraska-Lincoln,Utah Valley Esports
43,50,The University of Tennessee at Chattanooga,Utah Valley Esports
44,51,University of North Texas Dallas,Utah Valley Esports
45,52,Dakota State University,Utah Valley Esports
46,53,Roosevelt University,Utah Valley Esports
47,54,California State University San Bernardino ,Utah Valley Esports
