,away_team,home_team
0,UNCW,Mars Hill University
1,Newberry College,Mars Hill University
2,Midway University,Mars Hill University
3,High Point University,Mars Hill University
4,Florida Gulf Coast University,Mars Hill University
5,Mars Hill University,UNCW
6,Newberry College,UNCW
7,Midway University,UNCW
8,High Point University,UNCW
9,Florida Gulf Coast University,UNCW
10,Mars Hill University,Newberry College
11,UNCW,Newberry College
12,Midway University,Newberry College
13,High Point University,Newberry College
14,Florida Gulf Coast University,Newberry College
15,Mars Hill University,Midway University
16,UNCW,Midway University
17,Newberry College,Midway University
18,High Point University,Midway University
19,Florida Gulf Coast University,Midway University
20,Mars Hill University,High Point University
21,UNCW,High Point University
22,Newberry College,High Point University
23,Midway University,High Point University
24,Florida Gulf Coast University,High Point University
25,Mars Hill University,Florida Gulf Coast University
26,UNCW,Florida Gulf Coast University
27,Newberry College,Florida Gulf Coast University
28,Midway University,Florida Gulf Coast University
29,High Point University,Florida Gulf Coast University
30,UNCW,Mars Hill University
31,Newberry College,Mars Hill University
32,Newberry College,UNCW
33,High Point University,Midway University
34,Florida Gulf Coast University,Midway University
35,Florida Gulf Coast University,High Point University
